GEOID,Submarket
04013611700,Phoenix - Happy Valley
04013611800,Phoenix - Happy Valley
04013612600,Phoenix - Happy Valley
04013040525,Surprise
04013040526,Surprise
04013040527,Surprise
04013060801,Surprise
04013422624,Mesa - East
04013422625,Mesa - East
04013422626,Mesa - East
04013060903,Surprise
04013422628,Mesa - East
04013422629,Mesa - East
04013422630,Mesa - East
04013422633,Mesa - East
04013216839,Scottsdale - North
04013216840,Scottsdale - North
04013216841,Scottsdale - North
04013216842,Scottsdale - North
04013216844,Scottsdale - North
04013216845,Scottsdale - North
04013612700,Phoenix - Happy Valley
04013612800,Phoenix - Happy Valley
04013613300,Phoenix - Happy Valley
04013613800,Peoria
04013613900,Peoria
04013614000,Glendale - North
04013060802,Surprise
04013060901,Surprise
04013060902,Surprise
04013110801,Phoenix - East Camelback Village
04013061010,Litchfield
04013061011,Litchfield
04013061013,Avondale
04013061015,Avondale
04013061018,Litchfield
04013422639,Mesa - East
04013104301,Phoenix - North Mountain Village
04013104302,Phoenix - North Mountain Village
04013106501,Phoenix - East Uptown
04013110902,Phoenix - East Camelback Village
04013216853,Scottsdale - North
04013113502,Phoenix - Central East
04013611000,Peoria
04013611100,Peoria
04013611400,Phoenix - Happy Valley
04013614100,Glendale - North
04013614200,Glendale - North
04013614300,Phoenix - Deer Valley
04013614400,Phoenix - Deer Valley
04013615300,Peoria
04013615600,Peoria
04013061020,Litchfield
04013061021,Litchfield
04013061026,Surprise
04013061027,Surprise
04013061028,Surprise
04013116800,Phoenix - Maryvale
04013116900,Phoenix - Maryvale
04013040514,Surprise
04013040530,Surprise
04013050701,Buckeye
04013050702,Buckeye
04013611500,Phoenix - Happy Valley
04013611600,Phoenix - Happy Valley
04013611900,Phoenix - Happy Valley
04013612000,Phoenix - Happy Valley
04013612200,Phoenix - Happy Valley
04013216850,Scottsdale - North
04013216852,Scottsdale - North
04013615700,Glendale - North
04013061039,Surprise
04013061032,Surprise
04013061033,Surprise
04013061035,Surprise
04013061037,Surprise
04013061038,Surprise
04013061040,Surprise
04013421304,Mesa - West
04013061041,Surprise
04013061042,Surprise
04013061024,Goodyear
04013117200,Phoenix - Central City
04013420503,Mesa - West
04013071912,Peoria
04013071516,Peoria
04013071517,Peoria
04013420107,Mesa - East
04013420108,Mesa - East
04013612900,Phoenix - Happy Valley
04013613200,Phoenix - Happy Valley
04013613400,Peoria
04013061044,Litchfield
04013061045,Litchfield
04013061046,Litchfield
04013061047,Litchfield
04013061402,Avondale
04013071515,Peoria
04013071701,Peoria
04013071702,Peoria
04013082020,Phoenix - Maryvale
04013071913,Peoria
04013071914,Peoria
04013071915,Peoria
04013082016,Phoenix - Maryvale
04013082019,Phoenix - Maryvale
04013082021,Phoenix - Maryvale
04013615900,Glendale - North
04013613500,Peoria
04013613700,Peoria
04013420109,Mesa - East
04013420111,Mesa - East
04013082022,Avondale
04013082023,Avondale
04013082024,Avondale
04013082025,Avondale
04013082026,Avondale
04013082027,Avondale
04013082028,Phoenix - Maryvale
04013082208,Phoenix - Maryvale
04013092401,Glendale - South
04013092402,Glendale - South
04013092715,Glendale - South
04013092716,Glendale - South
04013615800,Glendale - North
04013420114,Mesa - East
04013616000,Glendale - North
04013616200,Phoenix - Deer Valley
04013420112,Mesa - East
04021001701,Maricopa - West
04013420216,Mesa - East
04013420401,Mesa - West
04013420504,Mesa - West
04013614500,Phoenix - Happy Valley
04013614900,Phoenix - Paradise Valley West
04021000317,Apache Junction
04021002200,Pinal County - East
04021000211,Queen Creek
04021000319,Apache Junction
04021000311,Apache Junction
04021000902,Florence
04021000310,Apache Junction
04021000312,Apache Junction
04021000313,Apache Junction
04021001408,Casa Grande
04021001305,Casa Grande
04021001306,Casa Grande
04021001405,Casa Grande
04021001406,Casa Grande
04021001403,Casa Grande
04021000208,Queen Creek
04021000315,Apache Junction
04013116619,Phoenix - South
04013610400,Phoenix - Happy Valley
04021000700,Pinal County - East
04021941200,Coolidge
04021001100,Coolidge
04021000201,Pinal County - East
04021001200,Coolidge
04021001900,Casa Grande
04021001000,Coolidge
04013116621,Phoenix - South
04013116620,Phoenix - South
04013116618,Phoenix - South
04013113301,Phoenix - Central City
04013113204,Phoenix - Central City
04013113503,Phoenix - Central East
04013422659,Mesa - East
04013422660,Mesa - East
04013422609,Mesa - East
04013422511,Gilbert
04013813200,Chandler
04013420602,Mesa - East
04013420603,Mesa - East
04013421201,Mesa - West
04013420704,Mesa - East
04013420705,Mesa - East
04013420706,Mesa - East
04013420800,Mesa - East
04013422307,Gilbert
04013422308,Gilbert
04013422309,Gilbert
